kabupaten,luas_panen,produktivitas,produksi,tahun
Kab. Berau,"6027,48",34.01,20498.89,2023
Kab. Penajam Paser Utara,"12521,93",36.02,45100.57,2023
Kab. Mahakam Ulu,"227,99",29.86,680.75,2023
Kota Balikpapan,"41,45",37.11,153.81,2023
Kota Samarinda,"1157,71",44.78,5184.28,2023
Kota Bontang,"41,47",37.1,153.85,2023
Kab. Paser,"11342,28",46.63,52886.67,2024
Kab. Kutai Barat,"449,25",30.01,1348.29,2024
Kab. Kutai Kartanegara,"26031,16",40.93,106553.73,2024
Kab. Kutai Timur,"3790,01",36.78,13938.46,2024
Kab. Berau,"5674,14",29.42,16693.4,2024
Kab. Penajam Paser Utara,"13235,19",36.37,48133.9,2024
Kab. Mahakam Ulu,"283,33",24.07,681.92,2024
Kota Balikpapan,"49,61",25.34,125.69,2024
Kota Samarinda,"2186,68",42.44,9280.84,2024
Kab. Paser,14599,46.34,67651.0,2025
Kab. Kutai Barat,1727,30.61,5286.0,2025
Kab. Kutai Kartanegara,26287,42.18,110870.0,2025
Kab. Kutai Timur,4198,36.12,15165.0,2025
Kab. Berau,3110,38.24,11893.0,2025
Kab. Penajam Paser Utara,13570,35.06,47581.0,2025
Kab. Mahakam Ulu,191,36.36,696.0,2025
Kota Balikpapan,65,39.36,256.0,2025
Kota Samarinda,2769,41.42,11469.0,2025
Kota Bontang,–,29.39,1.0,2025
Kab. Malinau,2682,30.69,8230.39,2018
Kab. Bulungan,"4817,9",33.17,15978.78,2018
Kab. Tana Tidung,"458,53",30.02,1376.35,2018
Kab. Nunukan,"5731,8",33.89,19425.91,2018
Kota Tarakan,"16,77",31.07,52.1,2018
Kab. Malinau,"1966,1",33.39,6564.07,2019
Kab. Bulungan,"4327,52",29.14,12610.09,2019
Kab. Tana Tidung,"110,11",25.91,285.3,2019
Kab. Nunukan,"3875,27",35.7,13835.77,2019
Kota Tarakan,"15,7",39.47,61.96,2019
Kab. Malinau,"2049,59",32.03,6565.84,2020
Kab. Bulungan,"4605,83",33.42,15394.85,2020
Kab. Tana Tidung,"286,78",25.56,733.01,2020
Kab. Nunukan,2933,37.05,10865.63,2020
Kota Tarakan,"7,85",19.04,14.95,2020
Kab. Malinau,"1374,75",29.76,4091.82,2021
Kab. Bulungan,"3954,32",32.9,13010.96,2021
Kab. Tana Tidung,"228,29",28.01,639.43,2021
Kab. Nunukan,"3303,82",36.85,12173.72,2021
Kota Tarakan,"19,65",26.15,51.38,2021
Kab. Malinau,"1520,93",35.07,5333.52,2022
Kab. Bulungan,"3341,49",34.79,11626.22,2022
Kab. Tana Tidung,"186,78",30.35,566.97,2022
Kab. Nunukan,"3535,35",36.62,12945.28,2022
Kota Tarakan,"19,64",31.36,61.6,2022
Kab. Malinau,"1451,05",34.88,5061.43,2023
Kab. Bulungan,"2632,03",38.36,10095.87,2023
Kab. Tana Tidung,"153,41",26.6,408.0,2023
Kab. Nunukan,"2251,65",35.48,7989.3,2023
Kota Tarakan,"11,78",40.24,47.4,2023
Kab. Malinau,"1512,75",37.51,5673.66,2024
Kab. Bulungan,"3323,21",35.91,11932.59,2024
Kab. Tana Tidung,"91,12",32.42,295.38,2024
Kab. Nunukan,"3347,12",36.31,12153.02,2024
Kota Tarakan,"7,85",32.0,25.12,2024
Kab. Malinau,1753,41.47,7270.0,2025
Kab. Bulungan,5146,36.35,18704.0,2025
Kab. Tana Tidung,136,33.88,459.0,2025
Kab. Nunukan,3165,36.57,11575.0,2025
Kota Tarakan,10,31.45,31.0,2025
Kab. Bangka Tengah,"170,72",32.48,554.53,2018
Kab. Bangka Tengah,"112,35",39.09,439.19,2019
Kab. Belitung,"406,13",21.58,876.41,2020
Kab. Bangka Tengah,"98,31",37.17,365.39,2020
Kab. Belitung,"293,25",23.76,696.68,2021
Kab. Bangka Tengah,"121,72",30.4,370.04,2021
Kab. Belitung,"332,09",24.3,807.06,2022
Kab. Bangka Tengah,"112,36",27.6,310.07,2022
Kab. Belitung,"293,57",23.89,701.46,2023
Kab. Bangka Tengah,"112,36",35.19,395.38,2023
Kab. Belitung,"316,87",22.08,699.74,2024
Kab. Bangka Tengah,"121,08",40.14,486.0,2024
Kab. Belitung,"236,00",23.23,549.0,2025
Kab. Bangka Tengah,"151,00",42.29,641.0,2025
Kab. Karimun,"68,04",26.84,182.64,2018
Kab. Bintan,"14,33",30.96,44.36,2018
Kab. Natuna,"119,56",23.76,284.05,2018
Kab. Lingga,"152,33",34.13,519.92,2018
Kab. Kepulauan Anambas,"21,61",30.56,66.03,2018
Kab. Karimun,"60,31",31.38,189.27,2019
Kab. Bintan,"16,11",45.0,72.5,2019
Kab. Natuna,"132,79",34.47,457.73,2019
Kab. Lingga,"132,96",28.08,373.35,2019
Kab. Kepulauan Anambas,"14,10",41.1,57.95,2019
Kab. Karimun,"39,20",15.28,59.89,2020
Kab. Bintan,"17,91",29.65,53.11,2020
Kab. Natuna,"138,42",29.52,408.65,2020
Kab. Lingga,"71,04",32.2,228.76,2020
Kab. Kepulauan Anambas,"31,95",31.97,102.13,2020
Kab. Karimun,"23,19",34.9,80.94,2021
Kab. Bintan,"12,54",34.61,43.4,2021
Kab. Natuna,"109,46",27.32,299.02,2021
Kab. Lingga,"85,51",32.99,282.12,2021
Kab. Kepulauan Anambas,"39,46",37.89,149.53,2021
Kab. Bintan,"8,95",28.34,25.36,2022
Kab. Natuna,"98,44",29.19,287.3,2022
Kab. Lingga,"44,84",26.34,118.12,2022
Kab. Kepulauan Anambas,"27,25",27.94,76.13,2022
Kab. Karimun,"1,41",21.35,3.01,2023
Kab. Bintan,"5,37",21.27,11.42,2023
Kab. Natuna,"54,11",28.03,151.66,2023
Kab. Lingga,"33,71",30.7,103.48,2023
Kab. Kepulauan Anambas,"20,67",26.34,54.44,2023
Kab. Bintan,"16,11",26.8,43.17,2024
Kab. Natuna,"68,69",26.8,184.07,2024
Kab. Lingga,"21,95",27.77,60.96,2024
Kab. Kepulauan Anambas,"6,58",25.67,16.89,2024
Kab. Bintan,"20,00",30.44,60.0,2025
Kab. Natuna,"145,00",33.09,481.0,2025
Kab. Lingga,"39,00",28.4,110.0,2025
Kab. Kepulauan Anambas,"12,00",30.45,38.0,2025
Kab. Lampung Barat,"15536,23",52.36,81355.0,2018
Kab. Tanggamus,"26666,26",58.39,155711.37,2018
Kab. Lampung Selatan,"48729,28",55.07,268374.79,2018
Kab. Lampung Timur,"99903,34",44.23,441855.33,2018
Kab. Lampung Tengah,"114756,51",45.78,525372.11,2018
Kab. Lampung Utara,"19277,16",43.25,83364.18,2018
Kab. Way Kanan,"19121,79",49.82,95255.86,2018
Kab. Tulangbawang,"43681,36",44.55,194593.04,2018
Kab. Pesawaran,"24396,52",55.12,134478.34,2018
Kab. Pringsewu,"24838,07",56.87,141246.17,2018
Kab. Mesuji,"44556,79",51.23,228265.9,2018
Kab. Tulang Bawang Barat,"11543,67",37.59,43391.57,2018
Kab. Pesisir Barat,"13208,91",51.02,67393.77,2018
Kota Bandar Lampung,"496,26",56.32,2794.74,2018
Kota Metro,"5228,78",48.18,25189.74,2018
Kab. Lampung Barat,"13631,86",43.39,59142.33,2019
Kab. Tanggamus,"24437,96",49.82,121750.98,2019
Kab. Lampung Selatan,"44070,05",60.33,265878.24,2019
Kab. Lampung Timur,"80699,48",44.0,355113.03,2019
Kab. Lampung Tengah,"98254,4",46.33,455234.05,2019
Kab. Lampung Utara,"15080,38",41.0,61822.68,2019
Kab. Way Kanan,"17586,18",33.79,59419.44,2019
Kab. Tulangbawang,"51559,24",42.26,217894.34,2019
Kab. Pesawaran,"20564,75",54.11,111281.36,2019
Kab. Pringsewu,"21439,28",52.57,112699.15,2019
Kab. Mesuji,"56247,52",43.89,246840.77,2019
Kab. Tulang Bawang Barat,"6071,41",50.52,30670.11,2019
Kab. Pesisir Barat,"11038,55",46.16,50951.25,2019
Kota Bandar Lampung,"423,74",54.71,2318.24,2019
Kota Metro,"2998,62",43.6,13073.36,2019
Kab. Lampung Barat,"13400,6",42.6,57093.19,2020
Kab. Tanggamus,"26905,17",55.07,148158.63,2020
Kab. Lampung Selatan,"54761,95",56.91,311668.77,2020
Kab. Lampung Timur,"94847,31",48.43,459300.61,2020
Kab. Lampung Tengah,"113890,72",52.6,599111.2,2020
Kab. Lampung Utara,"17133,37",44.21,75751.91,2020
Kab. Way Kanan,"17766,75",44.37,78824.55,2020
Kab. Tulangbawang,"55881,56",38.65,215987.34,2020
Kab. Pesawaran,"22068,41",51.3,113206.52,2020
Kab. Pringsewu,"23041,49",56.8,130867.36,2020
Kab. Mesuji,"78479,45",41.48,325509.23,2020
Kab. Tulang Bawang Barat,"6360,79",47.73,30361.02,2020
Kab. Pesisir Barat,"12808,37",47.06,60273.6,2020
Kota Bandar Lampung,"523,07",47.92,2506.64,2020
Kota Metro,"7280,04",57.24,41669.07,2020
Kab. Lampung Barat,"12303,02",49.31,60665.89,2021
Kab. Tanggamus,"22572,24",54.68,123414.48,2021
Kab. Lampung Selatan,"51178,22",64.54,330325.73,2021
Kab. Lampung Timur,"83568,7",47.55,397374.49,2021
Kab. Lampung Tengah,"100290,55",48.8,489447.65,2021
Kab. Lampung Utara,"16940,92",43.83,74260.22,2021
Kab. Way Kanan,"17403,59",47.25,82234.55,2021
Kab. Tulangbawang,"52601,29",44.2,232508.52,2021
Kab. Pesawaran,"21260,36",53.34,113402.71,2021
Kab. Pringsewu,"21574,65",56.63,122185.57,2021
Kab. Mesuji,"65020,17",51.79,336767.8,2021
Kab. Tulang Bawang Barat,"6994,69",48.33,33802.34,2021
Kab. Pesisir Barat,"12215,56",51.0,62295.74,2021
Kota Bandar Lampung,"470,07",54.49,2561.57,2021
Kota Metro,"5179,2",46.74,24205.52,2021
Kab. Lampung Barat,"13032,88",48.19,62802.09,2022
Kab. Tanggamus,"22563,4",57.03,128674.92,2022
Kab. Lampung Selatan,"56393,41",60.28,339941.87,2022
Kab. Lampung Timur,"91718,06",48.99,449294.9,2022
Kab. Lampung Tengah,"101612,69",55.76,566601.47,2022
Kab. Lampung Utara,"13705,47",46.3,63452.76,2022
Kab. Way Kanan,"21224,06",47.58,100985.27,2022
Kab. Tulangbawang,"65510,84",40.96,268323.74,2022
Kab. Pesawaran,"23359,64",55.89,130558.89,2022
Kab. Pringsewu,"23489,05",58.37,137096.53,2022
Kab. Mesuji,"57654,9",51.5,296934.72,2022
Kab. Tulang Bawang Barat,"10254,68",49.44,50700.33,2022
Kab. Pesisir Barat,"11921,43",50.98,60772.93,2022
Kota Bandar Lampung,"491,63",55.37,2721.97,2022
Kota Metro,"5323,92",55.03,29297.35,2022
Kab. Lampung Barat,"13513,57",52.48,70922.62,2023
Kab. Tanggamus,"25430,89",57.87,147163.03,2023
Kab. Lampung Selatan,"52334,35",56.28,294548.78,2023
Kab. Lampung Timur,"94070,36",50.57,475668.41,2023
Kab. Lampung Tengah,"108129,91",56.23,608009.47,2023
Kab. Lampung Utara,"17834,92",40.59,72390.72,2023
Kab. Way Kanan,"18720,83",45.21,84631.42,2023
Kab. Tulangbawang,"72025,12",44.32,319193.91,2023
Kab. Pesawaran,"23009,98",52.89,121692.61,2023
Kab. Pringsewu,"21752,76",59.14,128637.72,2023
Kab. Mesuji,"56726,11",52.27,296526.82,2023
Kab. Tulang Bawang Barat,"9942,54",46.22,45954.48,2023
Kab. Pesisir Barat,"10860,16",55.36,60121.34,2023
Kota Bandar Lampung,"477,44",51.19,2444.11,2023
Kota Metro,"5279,15",56.81,29992.75,2023
Kab. Lampung Barat,"13405,25",47.03,63045.97,2024
Kab. Tanggamus,"23943,52",56.39,135017.18,2024
Kab. Lampung Selatan,"57884,73",54.91,317834.2,2024
Kab. Lampung Timur,"93339,53",51.72,482716.29,2024
Kab. Lampung Tengah,"107704,78",57.01,614016.7,2024
Kab. Lampung Utara,"15092,55",41.86,63178.9,2024
Kab. Way Kanan,"19986,05",47.89,95711.27,2024
Kab. Tulangbawang,"75344,09",49.79,375139.71,2024
Kab. Pesawaran,"21910,12",52.91,115934.28,2024
Kab. Pringsewu,"22651,01",63.53,143902.58,2024
Kab. Mesuji,"56395,22",48.16,271572.19,2024
Kab. Tulang Bawang Barat,"7282,52",40.56,29538.83,2024
Kab. Pesisir Barat,"11090,78",46.54,51619.38,2024
Kota Bandar Lampung,"530,53",51.2,2716.27,2024
Kota Metro,"5154,43",57.05,29403.78,2024
Kab. Lampung Barat,11638,51.36,59774.0,2025
Kab. Tanggamus,25801,57.15,147440.0,2025
Kab. Lampung Selatan,76006,60.63,460853.0,2025
Kab. Lampung Timur,98026,53.68,526198.0,2025
Kab. Lampung Tengah,121929,56.98,694734.0,2025
Kab. Lampung Utara,23689,45.28,107276.0,2025
Kab. Way Kanan,25712,46.34,119142.0,2025
Kab. Tulangbawang,75524,50.74,383194.0,2025
Kab. Pesawaran,30348,51.85,157354.0,2025
Kab. Pringsewu,24882,62.21,154782.0,2025
Kab. Mesuji,51901,54.44,282558.0,2025
Kab. Tulang Bawang Barat,11561,46.38,53623.0,2025
Kab. Pesisir Barat,13582,53.02,72007.0,2025
Kota Bandar Lampung,630,53.43,3365.0,2025
Kota Metro,4786,63.37,30328.0,2025
Kab. Kepulauan Tanimbar,"70,60",27.45,193.77,2018
Kab. Maluku Tenggara,"0,28",21.07,0.59,2018
Kab. Maluku Barat daya,"0,62",40.16,2.49,2018
Kab. Kepulauan Tanimbar,"59,86",28.06,167.98,2019
Kab. Maluku Tenggara,"0,19",17.37,0.33,2019
Kab. Maluku Barat daya,"0,25",17.2,0.43,2019
Kab. Kepulauan Tanimbar,"141,79",12.32,174.64,2020
Kab. Maluku Tenggara,"4,59",18.15,8.33,2020
Kab. Maluku Barat daya,"0,12",18.33,0.22,2020
Kab. Kepulauan Tanimbar,"103,69",38.62,400.47,2021
Kab. Maluku Tenggara,"2,48",33.39,8.28,2021
Kab. Maluku Barat daya,"0,17",33.53,0.57,2021
Kab. Kepulauan Tanimbar,"138,09",21.25,293.5,2022
Kota Tual,"0,22",24.09,0.53,2022
Kab. Kepulauan Tanimbar,"221,08",38.97,861.53,2023
Kota Tual,"0,11",39.09,0.43,2023
Kab. Kepulauan Tanimbar,"537,17",15.54,834.99,2024
Kab. Kepulauan Tanimbar,"525,00",16.13,847.0,2025
Kab. Kepulauan Sula,"55,68",32.88,183.1,2018
Kab. Pulau Taliabu,"16,76",38.62,64.73,2018
Kota Tidore Kepulauan,"165,72",37.13,615.26,2018
Kab. Halmahera Tengah,"225,19",40.29,907.28,2019
Kab. Kepulauan Sula,"59,19",23.64,139.94,2019
Kota Tidore Kepulauan,"50,76",27.25,138.34,2019
Kab. Halmahera Tengah,"181,41",38.18,692.6,2020
Kab. Kepulauan Sula,"21,93",33.21,72.84,2020
Kota Tidore Kepulauan,"28,26",37.82,106.87,2020
Kab. Kepulauan Sula,"17,82",28.77,51.27,2021
Kab. Halmahera Selatan,"224,97",39.37,885.6,2021
Kab. Halmahera Barat,"59,20",38.21,226.18,2022
Kab. Halmahera Tengah,"31,29",33.07,103.47,2022
Kab. Kepulauan Sula,"4,19",39.69,16.63,2022
Kab. Halmahera Selatan,"38,89",31.34,121.88,2022
Kab. Halmahera Barat,"121,44",30.89,375.09,2023
Kab. Halmahera Tengah,"173,89",38.26,665.28,2023
Kab. Kepulauan Sula,"4,11",32.55,13.38,2023
Kab. Halmahera Selatan,"121,77",32.31,393.42,2023
Kota Tidore Kepulauan,"9,42",31.78,29.94,2023
Kab. Halmahera Barat,"142,20",32.58,463.26,2024
Kab. Kepulauan Sula,"49,01",34.91,171.13,2024
Kab. Halmahera Selatan,"62,90",29.72,186.91,2024
Kota Tidore Kepulauan,"0,85",36.48,3.09,2024
Kab. Halmahera Barat,"51,00",29.16,150.0,2025
Kab. Kepulauan Sula,"21,00",36.59,77.0,2025
Kab. Halmahera Selatan,"77,00",35.21,271.0,2025
Kota Tidore Kepulauan,"18,00",46.0,81.0,2025
Kab. Lombok Barat,"22249,51",52.2,116147.72,2018
Kab. Lombok Tengah,"74447,59",51.24,381436.43,2018
Kab. Lombok Timur,"48146,39",52.63,253392.28,2018
Kab. Sumbawa,"56302,94",50.91,286642.0,2018
Kab. Dompu,"21165,96",47.62,100787.38,2018
Kab. Bima,"43300,52",47.66,206371.98,2018
Kab. Sumbawa Barat,"12474,35",45.21,56400.51,2018
Kab. Lombok Utara,"5842,75",49.87,29140.12,2018
Kota Mataram,"2426,49",66.86,16224.24,2018
Kota Bima,"2886,09",47.8,13796.15,2018
Kab. Lombok Barat,"24270,51",47.96,116409.68,2019
Kab. Lombok Tengah,"71942,57",49.33,354915.09,2019
Kab. Lombok Timur,"46834,06",55.59,260367.37,2019
Kab. Sumbawa,"58110,22",47.68,277059.24,2019
Kab. Dompu,"18824,53",49.1,92429.31,2019
Kab. Bima,"39868,54",45.64,181943.26,2019
Kab. Sumbawa Barat,"11999,96",52.74,63282.3,2019
Kab. Lombok Utara,"4566,69",59.5,27170.41,2019
Kota Mataram,"2465,79",63.5,15658.14,2019
Kota Bima,"2783,17",46.52,12947.59,2019
Kab. Lombok Barat,"25480,19",50.04,127506.26,2020
Kab. Lombok Tengah,"72405,33",43.96,318321.85,2020
Kab. Lombok Timur,"45790,71",50.73,232315.51,2020
Kab. Sumbawa,"51727,84",51.36,265688.51,2020
Kab. Dompu,"18146,74",46.26,83951.02,2020
Kab. Bima,"38049,33",45.4,172742.72,2020
Kab. Sumbawa Barat,"11829,87",49.97,59112.05,2020
Kab. Lombok Utara,"4719,53",56.99,26896.35,2020
Kota Mataram,"2482,77",67.75,16821.08,2020
Kota Bima,"2828,51",48.91,13834.46,2020
Kab. Lombok Barat,"25412,89",49.6,126048.6,2021
Kab. Lombok Tengah,"71897,08",49.78,357912.91,2021
Kab. Lombok Timur,"45172,64",55.39,250214.48,2021
Kab. Sumbawa,"55839,8",51.48,287481.06,2021
Kab. Dompu,"17986,33",50.63,91061.62,2021
Kab. Bima,"36989,81",48.91,180923.05,2021
Kab. Sumbawa Barat,"12632,66",53.37,67423.01,2021
Kab. Lombok Utara,"5341,13",56.7,30281.81,2021
Kota Mataram,"2623,13",63.47,16649.53,2021
Kota Bima,"2316,41",49.92,11563.77,2021
Kab. Lombok Barat,"26862,66",50.28,135065.47,2022
Kab. Lombok Tengah,"70264,03",53.12,373219.71,2022
Kab. Lombok Timur,"42712,9",56.61,241781.21,2022
Kab. Sumbawa,"55173,06",55.9,308399.03,2022
Kab. Dompu,"16206,83",51.65,83706.14,2022
Kab. Bima,"35364,79",51.83,183284.54,2022
Kab. Sumbawa Barat,"12951,23",52.45,67935.12,2022
Kab. Lombok Utara,"5673,62",56.55,32085.7,2022
Kota Mataram,"2556,73",64.79,16565.06,2022
Kota Bima,"2327,03",46.86,10903.49,2022
Kab. Lombok Barat,"26302,61",52.22,137357.94,2023
Kab. Lombok Tengah,"72413,84",52.59,380811.93,2023
Kab. Lombok Timur,"44699,88",55.76,249268.61,2023
Kab. Sumbawa,"56579,25",56.8,321374.08,2023
Kab. Dompu,"18977,98",49.73,94379.13,2023
Kab. Bima,"44474,36",49.91,221993.37,2023
Kab. Sumbawa Barat,"13657,08",51.89,70871.26,2023
Kab. Lombok Utara,"5337,05",61.74,32950.1,2023
Kota Mataram,"2548,21",64.19,16358.12,2023
Kota Bima,"2521,88",52.23,13172.38,2023
Kab. Lombok Barat,"24859,51",49.42,122867.01,2024
Kab. Lombok Tengah,"70777,87",50.51,357504.03,2024
Kab. Lombok Timur,"47390,38",53.66,254291.36,2024
Kab. Sumbawa,"53470,91",55.32,295810.3,2024
Kab. Dompu,"21724,89",46.78,101624.93,2024
Kab. Bima,"42201,82",48.5,204686.33,2024
Kab. Sumbawa Barat,"10544,63",48.99,51657.0,2024
Kab. Lombok Utara,"6070,36",60.78,36896.75,2024
Kota Mataram,"2338,93",66.14,15468.88,2024
Kota Bima,"2338,53",53.89,12601.78,2024
Kab. Lombok Barat,25434,54.29,138068.0,2025
Kab. Lombok Tengah,78912,53.8,424529.0,2025
Kab. Lombok Timur,45202,53.34,241115.0,2025
Kab. Sumbawa,74729,54.03,403771.0,2025
Kab. Dompu,30417,50.66,154101.0,2025
Kab. Bima,42833,48.12,206122.0,2025
Kab. Sumbawa Barat,14541,52.7,76626.0,2025
Kab. Lombok Utara,5529,60.75,33588.0,2025
Kota Mataram,2746,62.65,17205.0,2025
Kota Bima,2552,52.87,13494.0,2025
Kota Kupang,"229,55",41.95,962.89,2021
Kab. Lembata,"220,15",34.73,764.66,2021
Kab. Lembata,"45,54",44.16,201.09,2022
Kab. Lembata,"280,64",29.69,833.23,2023
Kab. Lembata,"256,13",29.34,751.6,2024
Kab. Raja Ampat,"215,86",41.73,900.84,2023
Kab. Sorong Selatan,"50,72",41.97,212.89,2023
Kab. Raja Ampat,"181,79",28.75,522.65,2024
Kab. Sorong,"131,36",26.37,346.39,2024
Kab. Sorong Selatan,"50,72",23.58,119.6,2024
Kab. Raja Ampat,"171,00",26.32,451.0,2025
Kab. Sorong,"137,00",27.23,374.0,2025
Kab. Sorong Selatan,"2,00",29.43,6.0,2025
Boven Digoel,"6,48",39.31,25.46,2024
Mappi,"6,00",43.94,27.0,2025
Kota Pekanbaru,"0,35",38.0,1.33,2019
Kota Pekanbaru,"5,09",41.11,20.93,2024
Kota Pekanbaru,"1,00",26.32,2.0,2025
Kab. Kepulauan Selayar,"17,52",46.47,81.42,2018
Kab. Bulukumba,"47987,8",50.62,242937.03,2018
Kab. Bantaeng,"12392,91",50.78,62932.87,2018
Kab. Jeneponto,"42447,21",55.78,236789.59,2018
Kab. Takalar,"30226,18",42.45,128311.0,2018
Kab. Gowa,"52603,06",50.94,267950.2,2018
Kab. Sinjai,"25764,03",49.22,126822.5,2018
Kab. Maros,"48000,35",46.36,222528.31,2018
Kab. Pangkajene Dan Kepulauan,"30953,28",43.97,136099.7,2018
Kab. Barru,"25973,9",53.79,139711.18,2018
Kab. Bone,"214418,39",48.1,1031267.53,2018
Kab. Soppeng,"55781,87",53.36,297678.07,2018
Kab. Wajo,"191196,29",46.05,880519.16,2018
Kab. Sidenreng Rappang,"91997,15",58.27,536049.61,2018
Kab. Pinrang,"101253,19",59.58,603283.52,2018
Kab. Enrekang,"10902,01",52.21,56920.58,2018
Kab. Luwu,"60571,97",48.98,296664.27,2018
Kab. Tana Toraja,"21124,49",43.77,92463.56,2018
Kab. Luwu Utara,"41900,76",47.6,199468.24,2018
Kab. Luwu Timur,"46431,3",53.29,247410.62,2018
Kab. Toraja Utara,"26231,43",40.25,105582.74,2018
Kota Makassar,"2851,31",48.18,13738.18,2018
Kota Parepare,"1093,94",57.55,6296.13,2018
Kota Palopo,"3363,76",62.76,21110.44,2018
Kab. Kepulauan Selayar,"68,91",39.16,269.82,2019
Kab. Bulukumba,"43910,49",46.28,203200.06,2019
Kab. Bantaeng,"10701,08",49.61,53088.49,2019
Kab. Jeneponto,"31999,88",47.14,150859.45,2019
Kab. Takalar,"26079,95",43.4,113189.97,2019
Kab. Gowa,"51119,43",49.1,250984.77,2019
Kab. Sinjai,"26677,75",43.99,117351.71,2019
Kab. Maros,"43633,05",46.99,205038.16,2019
Kab. Pangkajene Dan Kepulauan,"26183,26",46.18,120903.74,2019
Kab. Barru,"22257,86",58.32,129810.28,2019
Kab. Bone,"169471,29",45.61,772874.27,2019
Kab. Soppeng,"49564,69",53.92,267271.03,2019
Kab. Wajo,"127870,39",48.46,619691.68,2019
Kab. Sidenreng Rappang,"93080,02",55.33,515011.95,2019
Kab. Pinrang,"97975,29",60.17,589515.24,2019
Kab. Enrekang,"9105,53",45.9,41793.29,2019
Kab. Luwu,"56441,43",54.9,309844.13,2019
Kab. Tana Toraja,"13461,03",43.88,59068.84,2019
Kab. Luwu Utara,"39642,95",46.09,182731.65,2019
Kab. Luwu Timur,"43035,24",50.78,218545.13,2019
Kab. Toraja Utara,"21165,26",45.3,95885.26,2019
Kota Makassar,"2450,25",47.89,11734.98,2019
Kota Parepare,"1132,25",46.06,5214.74,2019
Kota Palopo,"3161,47",64.17,20288.32,2019
Kab. Kepulauan Selayar,"1610,4",46.43,7477.68,2020
Kab. Bulukumba,"43239,95",43.09,186319.88,2020
Kab. Bantaeng,"10253,13",51.35,52651.95,2020
Kab. Jeneponto,"25754,54",45.32,116723.65,2020
Kab. Takalar,"27671,69",38.61,106837.31,2020
Kab. Gowa,"52268,34",47.77,249681.09,2020
Kab. Sinjai,"21314,62",44.34,94516.76,2020
Kab. Maros,"44215,37",44.14,195176.31,2020
Kab. Pangkajene Dan Kepulauan,"26202,13",49.54,129809.55,2020
Kab. Barru,"22175,78",61.0,135272.5,2020
Kab. Bone,"164096,42",47.01,771447.21,2020
Kab. Soppeng,"48561,81",56.71,275381.94,2020
Kab. Wajo,"130306,95",43.73,569842.94,2020
Kab. Sidenreng Rappang,"88925,58",49.91,443799.14,2020
Kab. Pinrang,"92631,3",55.8,516868.64,2020
Kab. Enrekang,"9564,97",48.38,46270.8,2020
Kab. Luwu,"51848,84",48.57,251809.8,2020
Kab. Tana Toraja,"11408,62",47.0,53622.45,2020
Kab. Luwu Utara,"40584,37",39.53,160422.71,2020
Kab. Luwu Timur,"41511,53",58.9,244490.69,2020
Kab. Toraja Utara,"15248,14",43.78,66749.76,2020
Kota Makassar,"2908,67",44.89,13055.81,2020
Kota Parepare,"998,03",43.52,4343.42,2020
Kota Palopo,"2956,96",53.75,15892.98,2020
Kab. Kepulauan Selayar,"1564,53",66.46,10397.5,2021
Kab. Bulukumba,"42698,9",49.2,210060.36,2021
Kab. Bantaeng,"9554,61",53.21,50843.87,2021
Kab. Jeneponto,"29017,89",56.25,163218.08,2021
Kab. Takalar,"27548,63",36.84,101500.65,2021
Kab. Gowa,"49583,27",47.97,237862.96,2021
Kab. Sinjai,"22661,98",45.75,103684.87,2021
Kab. Maros,"40228,86",51.27,206262.13,2021
Kab. Pangkajene Dan Kepulauan,"26419,25",48.34,127705.17,2021
Kab. Barru,"21621,61",57.16,123599.16,2021
Kab. Bone,"165259,93",48.91,808284.23,2021
Kab. Soppeng,"47465,84",56.7,269146.84,2021
Kab. Wajo,"133495,3",50.13,669203.75,2021
Kab. Sidenreng Rappang,"89434,42",53.67,480001.67,2021
Kab. Pinrang,"91595,91",60.41,553364.5,2021
Kab. Enrekang,"8523,93",47.63,40596.2,2021
Kab. Luwu,"53901,58",51.48,277479.98,2021
Kab. Tana Toraja,"17582,87",47.53,83573.95,2021
Kab. Luwu Utara,"37797,23",51.33,194020.2,2021
Kab. Luwu Timur,"44089,55",59.92,264187.69,2021
Kab. Toraja Utara,"18388,92",43.73,80409.25,2021
Kota Makassar,"2789,1",43.19,12046.39,2021
Kota Parepare,"967,87",43.66,4225.57,2021
Kota Palopo,"2966,25",63.93,18962.26,2021
Kab. Kepulauan Selayar,"1588,42",42.25,6710.53,2022
Kab. Bulukumba,"42399,52",49.25,208838.17,2022
Kab. Bantaeng,"10467,54",53.7,56206.03,2022
Kab. Jeneponto,"27387,2",46.71,127923.41,2022
Kab. Takalar,"27146,57",41.39,112369.69,2022
Kab. Gowa,"50068,58",46.14,231035.1,2022
Kab. Sinjai,"22680,41",45.44,103063.58,2022
Kab. Maros,"40325,53",48.63,196087.49,2022
Kab. Pangkajene Dan Kepulauan,"26838,34",44.11,118394.01,2022
Kab. Barru,"23397,26",61.88,144793.92,2022
Kab. Bone,"186094,76",49.22,915978.89,2022
Kab. Soppeng,"51076,46",57.21,292200.18,2022
Kab. Wajo,"158471,22",50.35,797933.74,2022
Kab. Sidenreng Rappang,"90652,88",59.05,535315.55,2022
Kab. Pinrang,"88904,57",61.65,548084.63,2022
Kab. Enrekang,"8380,83",48.11,40316.69,2022
Kab. Luwu,"52579,94",52.75,277364.84,2022
