kabupaten,luas_panen,produktivitas,produksi,tahun
Kab. Lebong,7.83,61.0,47.659,2021
Kab. Kepahiang,3.127,46.0,14.365,2021
Kab. Bengkulu Tengah,1.828,39.0,7.098,2021
Kota Bengkulu,1.218,50.0,6.132,2021
Kab. Bengkulu Selatan,10.625,47.0,50.238,2022
Kab. Rejang Lebong,7.739,46.0,35.899,2022
Kab. Bengkulu Utara,4.091,48.0,19.728,2022
Kab. Kaur,5.123,47.0,24.208,2022
Kab. Seluma,10.75,41.0,43.588,2022
Kab. Mukomuko,5.469,57.0,31.371,2022
Kab. Lebong,7.746,65.0,50.511,2022
Kab. Kepahiang,3.09,49.0,14.986,2022
Kab. Bengkulu Tengah,1.328,40.0,5.271,2022
Kota Bengkulu,1.191,49.0,5.81,2022
Kab. Bengkulu Selatan,10.771,47.0,50.249,2023
Kab. Rejang Lebong,7.511,49.0,36.889,2023
Kab. Bengkulu Utara,4.12,47.0,19.184,2023
Kab. Kaur,6.354,41.0,26.239,2023
Kab. Seluma,9.583,45.0,43.234,2023
Kab. Mukomuko,4.749,57.0,26.984,2023
Kab. Lebong,7.585,60.0,45.413,2023
Kab. Kepahiang,3.83,50.0,19.066,2023
Kab. Bengkulu Tengah,1.213,40.0,4.818,2023
Kota Bengkulu,1.088,48.0,5.235,2023
Bengkulu Selatan,9.849,45.0,44.297,2024
Kab. Rejang Lebong,6.107,47.0,28.617,2024
Kab. Bengkulu Utara,3.334,44.0,14.597,2024
Kab. Kaur,6.541,43.0,28.343,2024
Kab. Seluma,9.979,44.0,44.287,2024
Kab. Mukomuko,4.928,58.0,28.495,2024
Kab. Lebong,9.496,62.0,59.331,2024
Kab. Kepahiang,3.971,46.0,18.223,2024
Kab. Bengkulu Tengah,815.0,36.0,2.973,2024
Kota Bengkulu,755.0,49.0,3.694,2024
Kota Yogyakarta,"26,02",55.66,144.82,2018
Kota Yogyakarta,"20,77",51.82,107.62,2019
Kota Yogyakarta,"12,98",52.71,68.42,2020
Kota Yogyakarta,"5,90",52.88,31.2,2021
